id,name
0,Arts & Music
1,Biographies
2,Business
3,Comics
4,Computers & Tech
5,Cooking
6,Edu & Reference
7,Entertainment
8,Gay & Lesbian
9,Health & Fitness
10,History
11,Hobbies & Crafts
12,Home & Garden
13,Horror
14,Kids
15,Literature & Fiction
16,Medical
17,Mysteries
18,Parenting
19,Religion
20,Romance
21,Sci-Fi & Fantasy
22,Science & Math
23,Self-Help
24,Social Sciences
25,Sports
26,Teen
27,Travel
28,True Crime
29,Westerns
